,person_id,job_id,turbo_skill_id,job_role_id,user_academic_major_id,job_title,job_title_clean,skill_title
0,01f4bfc980a9448ab82e16eaf8c59d01,03b31eb101c68b95e2ef33ec25f28f09,[],"['a17db', 'a9d5e']",['6ff04'],"['Consultants', 'Development', 'and', 'Learning']","['design', 'learn', 'clinic', 'experi', 'oper']","['Templates', 'Nursing', 'Needs', 'Management', 'Clinical', 'Learning', 'Design', 'Analysis', 'Systems', 'Operations']"
1,01f4bfc980a9448ab82e16eaf8c59d01,06bc9a4e26975972720f105c8d911363,[],"['a17db', 'a9d5e']",['6ff04'],"['Administrators', 'and', 'Computer', 'Network', 'Systems']","['manag', 'learn', 'system', 'administr']","['Real', 'Wealth', 'Benefits', 'Estate', 'User', 'Management', 'System', 'Employee', 'Analytics', 'Design', 'Experience', 'Documentation', 'Investments']"
2,01f4bfc980a9448ab82e16eaf8c59d01,2948bb30542f395fe9564334d42ed91f,[],"['a17db', 'a9d5e']",['6ff04'],"['Development', 'and', 'Managers', 'Training']","['manag', 'learn', 'talent', 'develop', 'servic']","['People', 'Collaboration', 'Prioritization', 'Delivery', 'Management', 'Communications', 'Learning', 'Project', 'Operations']"
3,01f4bfc980a9448ab82e16eaf8c59d01,2a8a36956253e7211955192ae6ee9eee,[],"['a17db', 'a9d5e']",['6ff04'],"['Consulting', 'Development', 'Managers', 'Learning', 'and']","['technolog', 'manag', 'learn']","['Consulting', 'Collaboration', 'Infrastructure', 'Desk', 'Requirements', 'Integration', 'Integrity', 'Help', 'Teaching', 'Management', 'Business', 'Procurement', 'Design', 'Data', 'Ecosystem', 'Governance']"
4,01f4bfc980a9448ab82e16eaf8c59d01,455ffd964965e8d1af6d5d9ff4f0cb88,[],"['a17db', 'a9d5e']",['6ff04'],"['Specialists', 'Development', 'and', 'Training']","['train', 'learn', 'develop', 'specialist']","['Requirements', 'User', 'Business', 'Presentations', 'Bi', 'Improvements', 'Analysis', 'Systems', 'Office', 'Management', 'Training', 'Modeling', 'Enthusiasm', 'Oriented', 'Analytics', 'Design', 'Leadership', 'Integration', 'Innovation', 'Corporate', 'Suite', 'Coordinating', 'Reliability', 'Data', 'Process', 'Detail']"
5,01f4bfc980a9448ab82e16eaf8c59d01,4c1bad00257071b72cda8adf5ab80c3f,[],"['a17db', 'a9d5e']",['6ff04'],"['Consulting', 'Development', 'Managers', 'Learning', 'and']","['design', 'manag', 'learn', 'instruct', 'develop']","['Development', 'Program', 'Verbal', 'Skills', 'Problem', 'Disabilities', 'Management', 'Solving', 'Instructional', 'Design', 'Multimedia', 'Leadership', 'Communication']"
6,01f4bfc980a9448ab82e16eaf8c59d01,74559fac46da390590912a0fc40eefb6,[],"['a17db', 'a9d5e']",['6ff04'],"['Consultants', 'Development', 'and', 'Learning']","['project', 'manag', 'learn', 'develop']","['Creativity', 'Literacy', 'Analytics', 'Data']"
7,01f4bfc980a9448ab82e16eaf8c59d01,74666bb05e52d710a3ef97debecf4b5f,[],"['a17db', 'a9d5e']",['6ff04'],"['Delivery', 'Analysts', 'Service']","['learn', 'design', 'deliveri', 'specialist']","['Performance', 'Requirements', 'Innovation', 'Machine', 'Support', 'Business', 'Instructional', 'Design', 'Learning']"
8,01f4bfc980a9448ab82e16eaf8c59d01,77b923e57a77ac476dcbeb27d21ac8dc,[],"['a17db', 'a9d5e']",['6ff04'],"['Consultants', 'Development', 'and', 'Learning']","['organiz', 'consult', 'develop']","['And', 'Development', 'Relationship', 'Building', 'Training', 'Design', 'Organizational', 'Content']"
9,01f4bfc980a9448ab82e16eaf8c59d01,7dfc11b905312aa0e5bfcf931c9f2fbd,[],"['a17db', 'a9d5e']",['6ff04'],"['Trainers', 'ICT']","['lead', 'function', 'oracl', 'learn', 'modul', 'hcm']","['Consulting', 'Higher', 'Human', 'Strategy', 'Requirements', 'Thinking', 'Education', 'Resource', 'Transformation', 'System', 'Business', 'Capital', 'Design', 'Gap', 'Process', 'Analysis', 'Oracle']"
