,person_id,job_id,turbo_skill_id,job_role_id,years_until_grad,school_id,user_academic_major_id,company_name,skill_title
0,01f4bfc980a9448ab82e16eaf8c59d01,03b31eb101c68b95e2ef33ec25f28f09,[],"['a9d5e', 'a17db']",[],[],['6ff04'],['Elevance Health'],"['Design', 'Learning Management Systems', 'Clinical Nursing', 'Templates', 'Operations', 'Needs Analysis']"
1,01f4bfc980a9448ab82e16eaf8c59d01,06bc9a4e26975972720f105c8d911363,[],"['a9d5e', 'a17db']",[],[],['6ff04'],['Ferguson Enterprises'],"['Design', 'User Experience', 'System Documentation', 'Analytics', 'Investments', 'Employee Benefits', 'Wealth Management', 'Real Estate', 'Management']"
2,01f4bfc980a9448ab82e16eaf8c59d01,2948bb30542f395fe9564334d42ed91f,[],"['a9d5e', 'a17db']",[],[],['6ff04'],['Deloitte'],"['People Management', 'Communications', 'Prioritization', 'Collaboration', 'Project Management', 'Learning Delivery', 'Operations', 'Management']"
3,01f4bfc980a9448ab82e16eaf8c59d01,2a8a36956253e7211955192ae6ee9eee,[],"['a9d5e', 'a17db']",[],[],['6ff04'],['Elevance Health'],"['Design', 'Teaching', 'Infrastructure', 'Integration', 'Consulting', 'Ecosystem', 'Governance', 'Data Integrity', 'Collaboration', 'Procurement', 'Help Desk', 'Management', 'Business Requirements']"
4,01f4bfc980a9448ab82e16eaf8c59d01,455ffd964965e8d1af6d5d9ff4f0cb88,[],"['a9d5e', 'a17db']",[],[],['6ff04'],['TSMC'],"['Design', 'Corporate Training', 'Systems Bi', 'Innovation', 'Data Modeling', 'Leadership', 'Data Analysis', 'Business Requirements', 'User', 'Analytics', 'Office Suite', 'Data Integration', 'Process Improvements', 'Presentations', 'Coordinating', 'Reliability', 'Detail Oriented', 'Management', 'Enthusiasm']"
5,01f4bfc980a9448ab82e16eaf8c59d01,4c1bad00257071b72cda8adf5ab80c3f,[],"['a9d5e', 'a17db']",[],[],['6ff04'],"['Zenith American Solutions, Inc.']","['Design', 'Multimedia', 'Program Management', 'Verbal Communication Skills', 'Management Development', 'Disabilities', 'Instructional Design', 'Problem Solving', 'Leadership']"
6,01f4bfc980a9448ab82e16eaf8c59d01,74559fac46da390590912a0fc40eefb6,[],"['a9d5e', 'a17db']",[],[],['6ff04'],['Vanguard'],"['Analytics', 'Data Literacy', 'Creativity']"
7,01f4bfc980a9448ab82e16eaf8c59d01,74666bb05e52d710a3ef97debecf4b5f,[],"['a9d5e', 'a17db']",[],[],['6ff04'],['ADP'],"['Design', 'Performance Support', 'Innovation', 'Machine Learning', 'Instructional Design', 'Business Requirements']"
8,01f4bfc980a9448ab82e16eaf8c59d01,77b923e57a77ac476dcbeb27d21ac8dc,[],"['a9d5e', 'a17db']",[],[],['6ff04'],"['Gilbert, Arizona']","['Organizational Development', 'Content', 'Design', 'Training And Development', 'Relationship Building']"
9,01f4bfc980a9448ab82e16eaf8c59d01,7dfc11b905312aa0e5bfcf931c9f2fbd,[],"['a9d5e', 'a17db']",[],[],['6ff04'],['Deloitte'],"['Resource Transformation', 'Business Process', 'Consulting', 'System Strategy', 'Oracle', 'Gap Analysis', 'Human Capital', 'Design Thinking', 'Business Requirements', 'Higher Education']"
10,01f4bfc980a9448ab82e16eaf8c59d01,7ea22277084b1906b79f143460cf4ad4,[],"['a9d5e', 'a17db']",[],[],['6ff04'],['Salt River Project'],"['System Administration', 'User Experience', 'Power Bi', 'Learning Management Systems', 'Integration', 'Customer Satisfaction', 'Research', 'Power', 'Learning Management', 'Spreadsheets', 'Database', 'Microsoft Excel', 'Project Management', 'Regulatory Compliance', 'Curriculum Management', 'Intranet', 'Management', 'Leadership']"
11,01f4bfc980a9448ab82e16eaf8c59d01,86b37006dc118de69e0bda2469ea1d8f,[],"['a9d5e', 'a17db']",[],[],['6ff04'],['Arizona Department of Health Services'],"['Presentation', 'Research', 'Cooperation', 'Sociology', 'Loans', 'Writing', 'Mental Health', 'Emergency Intervention', 'Psychology']"
12,01f4bfc980a9448ab82e16eaf8c59d01,a80220de187e2161cd507986a6fce217,[],"['a9d5e', 'a17db']",[],[],['6ff04'],['Arizona State University'],"['Financial Literacy', 'Coordinating', 'Customer Service', 'Advising', 'Operations', 'Leadership']"
13,01f4bfc980a9448ab82e16eaf8c59d01,c2a93e701fc853c6678fc16705943b52,[],"['a9d5e', 'a17db']",[],[],['6ff04'],['Sparklight'],"['Design', 'Business Process', 'Communications', 'Learning Management', 'Timelines', 'Microsoft Office', 'Operations', 'Verbal Communication Skills', 'Customer Satisfaction', 'Dissemination', 'Personal Services', 'Empathy', 'Adobe Captivate', 'Learning', 'Management Systems', 'Teaching', 'Performance Support', 'Coordinating', 'Management']"
14,01f4bfc980a9448ab82e16eaf8c59d01,f6af892eb72f621e60ad261b23c0dd89,[],"['a9d5e', 'a17db']",[],[],['6ff04'],['The Cigna Group'],"['Curation', 'Design', 'Learning Science', 'Analytics', 'Ecosystem', 'Career Management', 'Leadership Development', 'Experiential Learning', 'Governance', 'Innovation', 'Leverage', 'Mobility', 'Leadership']"
15,02f84f625ffd49b99f56fc7adf8914c5,8afe671acde33224a4aff879e95536d4,['22110'],['9148e'],['1'],['60f566d6c79123491e19006f'],['62e9d'],['Experfy'],"['Design', 'Scripting', 'Linux', 'Technical Support', 'Github', 'Operations']"
16,03b4314b8b8e48d0afedab0210a13fd2,0c8f40fd7ced785cdf4f994ba713db97,[],"['f2c3a', '58a49', '18e57', 'a1f38', 'd270b', '85378', 'e04ea', 'da4e0', '7f466', 'c369b', '138a1']",['2'],['5845c7e8d4c68596af21e7d3'],['13209'],['Booz Allen Hamilton'],"['Linux', 'Information Systems', 'Ingenuity', 'Leadership Development', 'Information Assurance', 'Fault', 'Cyber Risk', 'Upskilling', 'Risk Management', 'Vulnerability Scanning', 'Investigation', 'Resilience', 'Leadership']"
17,03b4314b8b8e48d0afedab0210a13fd2,1a36cb19ac014591f98e3b96f2493fe6,[],"['f2c3a', '58a49', '18e57', 'a1f38', 'd270b', '85378', 'e04ea', 'da4e0', '7f466', 'c369b', '138a1']",['2'],['5845c7e8d4c68596af21e7d3'],['13209'],['Curis Recruitment'],"['Registration', 'Voucher', 'Health', 'Nursing', 'Infection']"
